date,death,positive
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,2
2020-3-9,0,3
2020-3-10,0,8
2020-3-11,0,9
2020-3-12,0,17
2020-3-13,0,30
2020-3-14,0,30
2020-3-15,1,45
2020-3-16,1,51
2020-3-17,1,67
2020-3-18,1,77
2020-3-19,2,94
2020-3-20,2,114
2020-3-21,2,152
2020-3-22,3,219
2020-3-23,6,254
2020-3-24,7,290
2020-3-25,9,391
2020-3-26,13,460
2020-3-27,14,604
2020-3-28,17,739
2020-3-29,22,890
2020-3-30,25,1020
2020-3-31,27,1250
2020-4-1,34,1484
2020-4-2,41,1706
2020-4-3,46,2012
2020-4-4,52,2407
2020-4-5,51,2637
2020-4-6,54,2878
2020-4-7,63,3333
2020-4-8,75,3645
2020-4-9,109,4042
2020-4-10,121,4509
2020-4-11,130,5077
2020-4-12,141,5274
2020-4-13,149,5747
2020-4-14,154,6171
2020-4-15,195,6500
2020-4-16,208,6889
2020-4-17,231,7491
2020-4-18,258,8053
2020-4-19,277,8537
2020-4-20,300,8990
2020-4-21,324,9630
2020-4-22,349,10266
2020-4-23,372,10998
2020-4-24,410,11594
2020-4-25,436,12366
2020-4-26,448,12970
2020-4-27,458,13535
2020-4-28,492,14339
2020-4-29,522,14961
2020-4-30,552,15846
2020-5-1,581,16901
2020-5-2,616,17731
2020-5-3,660,18671
2020-5-4,684,19492
2020-5-5,713,20256
2020-5-6,713,20256
2020-5-7,769,21570
2020-5-8,812,22342
2020-5-9,827,23196
2020-5-10,839,24081
2020-5-11,850,25070
2020-5-12,891,25800
2020-5-13,927,26746
2020-5-14,955,27813
2020-5-15,977,28672
2020-5-16,1002,29683
2020-5-17,1009,30388
2020-5-18,1014,31140
2020-5-19,1041,32145
2020-5-20,1074,32908
2020-5-21,1099,34137
2020-5-22,1136,34950
2020-5-23,1159,35749
2020-5-24,1171,36244
2020-5-25,1208,37727
2020-5-26,1236,39342
2020-5-27,1281,40249
2020-5-28,1338,41401
2020-5-29,1358,42533
2020-5-30,1370,43611
2020-5-31,1375,44607
2020-6-1,1392,45398
2020-6-2,1407,46239
2020-6-3,1428,46905
2020-6-4,1445,47856
2020-6-5,1453,48532
2020-6-6,1460,49397
2020-6-7,1472,50681
2020-6-8,1477,51251
2020-6-9,1496,51738
2020-6-10,1514,52177
2020-6-11,1520,52647
2020-6-12,1534,53211
2020-6-13,1541,53869
2020-6-14,1546,54506
2020-6-15,1552,54886
2020-6-16,1570,55331
2020-6-17,1583,55775
2020-6-18,1586,56238
2020-6-19,1602,56793
2020-6-20,1607,57443
2020-6-21,1611,57994
2020-6-22,1620,58465
2020-6-23,1645,58994
2020-6-24,1661,59514
2020-6-25,1675,59946
2020-6-26,1700,60570
2020-6-27,1724,61247
2020-6-28,1732,61736
2020-6-29,1740,62189
2020-6-30,1763,62787
2020-7-1,1786,63203
2020-7-2,1816,63735
2020-7-3,1845,64393
2020-7-4,1849,65109
2020-7-5,1853,65748
2020-7-6,1853,66102
2020-7-7,1881,66740
2020-7-8,1905,67375
2020-7-9,1937,67988
2020-7-10,1958,68931
2020-7-11,1962,69782
2020-7-12,1966,70670
2020-7-13,1968,71642
2020-7-14,1977,72443
2020-7-15,1992,73527
2020-7-16,2007,74431
2020-7-17,2013,75433
2020-7-18,2025,76373
2020-7-19,2027,77430
2020-7-20,2031,78375
2020-7-21,2048,79371
2020-7-22,2051,80393
2020-7-23,2054,81237
2020-7-24,2067,82364
2020-7-25,2075,83609
2020-7-26,2078,84567
2020-7-27,2082,86072
2020-7-28,2095,86994
2020-7-29,2125,87993
2020-7-30,2141,88904
2020-7-31,2174,89888
2020-8-1,2215,90801
2020-8-2,2218,91782
2020-8-3,2218,93106
2020-8-4,2244,94251
2020-8-5,2274,95049
2020-8-6,2299,95867
2020-8-7,2317,97882
2020-8-8,2322,99189
2020-8-9,2326,100086
2020-8-10,2327,100749
2020-8-11,2344,101745
2020-8-12,2352,102521
2020-8-13,2363,103622
2020-8-14,2370,104838
2020-8-15,2381,105750
2020-8-16,2381,106687
2020-8-17,2385,107421
2020-8-18,2396,108282
2020-8-19,2410,109019
2020-8-20,2427,109882
2020-8-21,2436,110860
2020-8-22,2443,112072
2020-8-23,2467,112966
2020-8-24,2471,113630
2020-8-25,2494,114635
2020-8-26,2515,115458
2020-8-27,2515,115458
2020-8-28,2550,117592
2020-8-29,2568,118809
2020-8-30,2569,119747
2020-8-31,2580,120594
2020-9-1,2612,121615
2020-9-2,2641,122542
2020-9-3,2652,123668
2020-9-4,2662,124779
2020-9-5,2677,125727
2020-9-6,2678,126926
2020-9-7,2684,127571
2020-9-8,2686,128407
2020-9-9,2697,129289
2020-9-10,2708,130525
2020-9-11,2711,131640
2020-9-12,2722,132940
2020-9-13,2724,133814
2020-9-14,2743,134571
2020-9-15,2839,135514
2020-9-16,2884,136359
2020-9-17,2920,137460
2020-9-18,2949,138702
2020-9-19,2990,139655
2020-9-20,3015,140511
2020-9-21,3021,141138
2020-9-22,3060,142010
2020-9-23,3089,142590
2020-9-24,3113,143492
2020-9-25,3136,144433
2020-9-26,3144,145408
2020-9-27,3159,146144
2020-9-28,3172,146593
2020-9-29,3187,147516
2020-9-30,3208,148271
2020-10-1,3228,148721
2020-10-2,3250,149687
2020-10-3,3270,150803
2020-10-4,3273,151870
2020-10-5,3276,152557
2020-10-6,3291,153182
2020-10-7,3303,153691
2020-10-8,3328,155535
2020-10-9,3344,156649
2020-10-10,3354,157905
2020-10-11,3358,158716
2020-10-12,3361,159570
2020-10-13,3372,160805
2020-10-14,3381,161610
2020-10-15,3388,162941
2020-10-16,3408,164124
2020-10-17,3422,165238
2020-10-18,3433,166138
2020-10-19,3457,166828
2020-10-20,3485,167754
2020-10-21,3515,168772
2020-10-22,3524,170104
2020-10-23,3539,171284
2020-10-24,3578,172372
2020-10-25,3579,173371
2020-10-26,3581,174275
2020-10-27,3600,175409
2020-10-28,3616,176754
2020-10-29,3636,178183
2020-10-30,3643,179639
2020-10-31,3654,181190
2020-11-1,3655,182392
2020-11-2,3658,183418
2020-11-3,3666,184679
2020-11-4,3677,185836
2020-11-5,3688,187202
2020-11-6,3682,188770
2020-11-7,3704,190873
2020-11-8,3707,192175
2020-11-9,3713,193477
2020-11-10,3726,194912
2020-11-11,3741,196506
2020-11-12,3758,198027
2020-11-13,3785,199262
2020-11-14,3799,200799
2020-11-15,3800,201960
2020-11-16,3806,204637
2020-11-17,3835,206762
2020-11-18,3860,208833
2020-11-19,3896,210787
2020-11-20,3912,213331
2020-11-21,3938,215679
2020-11-22,3938,217796
2020-11-23,3942,221038
2020-11-24,3979,223582
2020-11-25,4008,226300
2020-11-26,4029,228900
2020-11-27,4044,230444
2020-11-28,4054,233617
2020-11-29,4058,235942
2020-11-30,4062,237835
2020-12-1,4093,240063
2020-12-2,4113,242480
2020-12-3,4147,244503
2020-12-4,4160,247380
2020-12-5,4197,251173
2020-12-6,4200,255053
2020-12-7,4208,258870
2020-12-8,4260,262730
2020-12-9,4281,267128
2020-12-10,4335,271043
2020-12-11,4370,274438
2020-12-12,4409,278615
2020-12-13,4411,281909
2020-12-14,4414,285149
2020-12-15,4470,288309
2020-12-16,4508,292240
2020-12-17,4553,296093
2020-12-18,4598,299388
2020-12-19,4643,302972
2020-12-20,4650,306848
2020-12-21,4654,310890
2020-12-22,4705,314481
2020-12-23,4760,319133
2020-12-24,4791,323915
2020-12-25,4820,327993
2020-12-26,4840,329577
2020-12-27,4854,333576
2020-12-28,4861,336175
2020-12-29,4920,340297
2020-12-30,4984,344345
2020-12-31,5032,349584
2021-1-1,5081,354766
2021-1-2,5117,358755
2021-1-3,5124,363765
2021-1-4,5132,367536
2021-1-5,5191,371913
2021-1-6,5226,377300
2021-1-7,5275,382679
2021-1-8,5312,387917
2021-1-9,5381,393715
2021-1-10,5383,398856
2021-1-11,5393,403386
2021-1-12,5477,407947
2021-1-13,5552,412545
2021-1-14,5626,417839
2021-1-15,5656,422634
2021-1-16,5706,429391
2021-1-17,5729,439305
2021-1-18,5739,446550
2021-1-19,5798,451076
2021-1-20,5861,455591
2021-1-21,5940,459604
2021-1-22,6002,463751
2021-1-23,6079,468655
2021-1-24,6078,472447
2021-1-25,6081,478619
2021-1-26,6174,483326
2021-1-27,6228,488553
2021-1-28,6308,493674
2021-1-29,6379,497912
2021-1-30,6449,502221
2021-1-31,6464,504779
2021-2-1,6474,507640
2021-2-2,6517,510380
2021-2-3,6575,513339
2021-2-4,6650,516398
2021-2-5,6732,521467
2021-2-6,6773,526176
2021-2-7,6778,529125
2021-2-8,6820,530825
2021-2-9,6898,534116
2021-2-10,6932,537319
2021-2-11,6958,541018
2021-2-12,6966,544209
2021-2-13,6996,547424
2021-2-14,7012,549999
2021-2-15,7016,551538
2021-2-16,7037,553308
2021-2-17,7075,555592
2021-2-18,7090,557896
2021-2-19,7098,559930
2021-2-20,7197,561812
2021-2-21,7331,564115
2021-2-22,7486,565270
2021-2-23,7658,567039
2021-2-24,7807,568946
2021-2-25,7963,570982
2021-2-26,8197,572639
2021-2-27,8382,574314
2021-2-28,8552,576050
2021-3-1,8783,577174
2021-3-2,8943,578559
2021-3-3,9326,580108
2021-3-4,9357,581408
2021-3-5,9428,583060
2021-3-6,9519,584537
2021-3-7,9596,585700
